1^Toy Story (1995)^ ^81 minutes^March 20, 2001^1995^English ^Adventure|Animation|Children|Comedy|Fantasy ^Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|John Morris|Erik von Detten|Laurie Metcalf|R. Lee Ermey|Sarah Freeman|Penn Jillette|Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn ^John Lasseter ,,,,,,,,,,,,,,,,,,,,,
2^Jumanji (1995)^ ^104 minutes^April 30, 1997^1995^English|Français ^Adventure|Children|Fantasy ^Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce|Bonnie Hunt|Bebe Neuwirth|David Alan Grier|Patricia Clarkson|Adam Hann-Byrd|Laura Bell Bundy|James Handy|Gillian Barber|Brandon Obray|Cyrus Thiedeke|Gary Joseph Thorup|Leonard Zola|Lloyd Berry|Malcolm Stewart|Annabel Kershaw|Darryl Henriques|Robyn Driscoll|Peter Bryant|Sarah Gilson|Florica Vlad|June Lion|Brenda Lockmuller|Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce|Bonnie Hunt ^Joe Johnston ,,,,,,,,,,,,,,,,,,,,,
3^Grumpier Old Men (1995)^ ^101 minutes^September 5, 2000^1995^English ^Comedy|Romance ^Walter Matthau|Jack Lemmon|Ann-Margret|Sophia Loren|Daryl Hannah|Burgess Meredith|Kevin Pollak|Walter Matthau|Jack Lemmon|Ann-Margret|Sophia Loren|Daryl Hannah ^Howard Deutch ,,,,,,,,,,,,,,,,,,,,,
4^Waiting to Exhale (1995)^ ^127 minutes^March 6, 2001^1995^English ^Comedy|Drama|Romance ^Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines|Dennis Haysbert|Michael Beach|Mykelti Williamson|Lamont Johnson|Wesley Snipes|Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines ^Forest Whitaker ,,,,,,,,,,,,,,,,,,,,,
5^Father of the Bride Part II (1995)^ ^106 minutes^May 9, 2000^1995^English ^Comedy ^Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern|Kieran Culkin|BD Wong|Peter Michael Goetz|Kate McGregor-Stewart|Jane Adams|Eugene Levy|Lori Alan|Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern ^Charles Shyer ,,,,,,,,,,,,,,,,,,,,,
6^Heat (1995)^ ^170 minutes^July 27, 1999^1995^English|Español ^Action|Crime|Thriller ^Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore|Diane Venora|Amy Brenneman|Ashley Judd|Mykelti Williamson|Natalie Portman|Ted Levine|Tom Noonan|Tone Loc|Hank Azaria|Wes Studi|Dennis Haysbert|Danny Trejo|Henry Rollins|William Fichtner|Kevin Gage|Susan Traylor|Jerry Trimble|Ricky Harris|Jeremy Piven|Xander Berkeley|Begonya Plaza|Rick Avery|Hazelle Goodman|Ray Buktenica|Max Daniels|Vince Deadrick Jr.|Steven Ford|Farrah Forke|Patricia Healy|Paul Herman|Cindy Katz|Brian Libby|Dan Martin|Mario Roberts|Thomas Rosales| Jr.|Yvonne Zima|Mick Gould|Bud Cort|Viviane Vives|Kim Staunton|Martin Ferrero|Brad Baldridge|Andrew Camuccio|Kenny Endoso|Kimberly Flynn|Niki Harris|Bill McIntosh|Rick Marzan|Terry Miller|Daniel O'Haco|Kai Soremekun|Peter Blackwell|Trevor Coppola|Mary Kircher|Darin Mangan|Robert Miranda|Manny Perry|Iva Franks Singer|Tim Werner|Philip Ettington|Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore ^Michael Mann ,,,,,,,,,,,,,,,,,,,,,
7^Sabrina (1995)^ ^127 minutes^January 15, 2002^1995^Français|English ^Comedy|Romance ^Harrison Ford|Julia Ormond|Greg Kinnear|Angie Dickinson|Nancy Marchand|John Wood|Richard Crenna|Lauren Holly|Dana Ivey|Fanny Ardant|Patrick Bruel|Paul Giamatti|Miriam Colón|Elizabeth Franz|Valérie Lemercier|Becky Ann Baker|John C. Vennema|Margo Martindale|J. Smith-Cameron|Christine Luneau-Lipton|Michael Dees|Denis Holmes|Jo-Jo Lowe|Ira Wheeler|Philippa Cooper|Ayako Kawahara|François Genty|Guillaume Gallienne|Inés Sastre|Phina Oruche|Andrea Behalikova|Jennifer Herrera|Kristina Kumlin|Eva Linderholm|Carmen Chaplin|Micheline Van de Velde|Joanna Rhodes|Alan Boone|Patrick Forster-Delmas|Kentaro Matsuo|Peter McKernan|Ed Connelly|Ronald L. Schwary|Alvin Lum|Siching Song|Phil Nee|Randy Becker|Susan Browning|Anthony Mondal|Peter Parks|Woodrow Asai|Eric Bruno Borgman|Michael Cline|Christopher Del Gaudio|Philippe Hartmann|Jerry Quinn|Dori Rosenthal|Harrison Ford|Julia Ormond|Greg Kinnear|Angie Dickinson|Nancy Marchand ^Sydney Pollack ,,,,,,,,,,,,,,,,,,,,,
8^Tom and Huck (1995)^ ^97 minutes^May 6, 2003^1995^English|Deutsch ^Adventure|Children ^Jonathan Taylor Thomas|Brad Renfro|Rachael Leigh Cook|Michael McShane|Amy Wright|Eric Schweig|Tamara Mello|Jonathan Taylor Thomas|Brad Renfro|Rachael Leigh Cook|Michael McShane|Amy Wright ^Peter Hewitt ,,,,,,,,,,,,,,,,,,,,,
9^Sudden Death (1995)^ ^106 minutes^February 10, 1997^1995^English ^Action ^Jean-Claude Van Damme|Powers Boothe|Dorian Harewood|Raymond J. Barry|Ross Malinger|Whittni Wright|Jean-Claude Van Damme|Powers Boothe|Dorian Harewood|Raymond J. Barry|Ross Malinger ^Peter Hyams ,,,,,,,,,,,,,,,,,,,,,
10^GoldenEye (1995)^ ^130 minutes^October 22, 2002^1995^English|Pусский|Español ^Action|Adventure|Thriller ^Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker|Judi Dench|Gottfried John|Robbie Coltrane|Alan Cumming|Tchéky Karyo|Desmond Llewelyn|Samantha Bond|Michael Kitchen|Serena Gordon|Simon Kunz|Billy J. Mitchell|Constantine Gregory|Minnie Driver|Michelle Arthur|Ravil Isyanov|Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker ^Martin Campbell ,,,,,,,,,,,,,,,,,,,,,
